콘텐츠,동영상 제목,동영상 게시 시간,길이,조회수,시청 시간(단위: 시간),구독자,예상 수익 (USD),노출수,노출 클릭률 (%)
합계,,,,237999,22048.2351,4416,754.369,2691655,6.35
UaWyKr0gEN4,"""모두에게 잘해주지 마세요"" 착한 사람이 가장 먼저 챙겨야 할 성경적 우선순위 5가지","Feb 9, 2026",1240,39368,3997.041,830,31.197,425280,7.38
SyTzSGQ6jSk,"""아무리 울며 기도해도 상황이 1도 바뀌지 않는다면, 당신은 응답의 문앞에 서 계신 겁니다. (하나님의 3가지 신호)""","Feb 22, 2026",835,32798,2985.3788,1004,94.162,420308,6.38
dZmTXGIRLv0,기도하고 싶은데 말이 안 나오는 분들께,"Mar 2, 2026",832,23552,2138.867,382,94.335,302634,6.55
VMSuDe5PPW0,통장이 비어도 두렵지 않은 이유 | 하나님의 공급을 경험하는 성경 3가지 원리 | 기독교 말씀,"Mar 27, 2026",1629,21496,2644.7091,260,150.699,336140,5.62
EWoiwcVSFvw,"아침 기도의 3가지 비밀, 성경이 증명하는 하루의 시작","Apr 12, 2026",925,13753,1386.1469,180,108.409,231764,7
dJaYBFrTy5A,"기도해도 응답 없을 때, 이것이 하나님이 보내신 3가지 신호입니다","Mar 13, 2026",690,11380,872.9783,142,35.341,144461,6.08
Ix0N6YAse7A,걱정 많은 당신에게 꼭 필요한 시편23편 | 하루 3분으로 마음의 평안 얻는 법 | 기독교 오디오북,"Jan 31, 2026",1010,8307,911.321,266,4.03,102810,6.3
u0oWupcz8ic,하나님이 도우실 때 6가지 신호ㅣ15분 깊이 묵상,"Apr 24, 2026",671,6586,565.5086,93,43.236,88773,7.92
DgSYvq-G24E,"기도해도 응답 없을 때, 하나님이 '축복' 직전에 보내시는 5가지 신호 (눈물이 흐른다면 꼭 보세요)","Mar 17, 2026",640,6007,484.0433,44,21.934,77188,6.23
gLS4yzpd2Mg,"""하나님, 제 기도 듣고 계신가요?"" 응답 없는 침묵 속에 계신 당신에게","Feb 16, 2026",36,3307,7.6084,3,0.059,4474,4.09
9yBE2yqcU-A,"하나님을 ""아버지""라고 부르면 기도가 완전히 달라집니다 | 탕자의 비유 속 놀라운 비밀","Feb 28, 2026",1466,2873,360.9194,61,8.048,48978,4.22
aSq3PYe6qOg,이런 사람 옆에 있으면 인생이 달라집니다 - 꼭 가까이 해야 할 사람의 7가지 특징,"Feb 18, 2026",775,2773,202.3797,53,2.209,28681,7.45
aMwvINH-Sow,똑같은 고난인데 결과가 다른 이유? 감사하는 사람 vs 불평하는 사람 (결정적 차이 4가지),"Feb 28, 2026",990,2751,261.5714,33,9.856,35331,5.66
wa0KuNnglKg,하나님은 왜 침묵하실까? | 매일 기도하는데 아무 일도 일어나지 않을 때 (성경적 해답),"Feb 3, 2026",1470,2318,447.8951,31,6.327,17088,5.89
DbyjG2yMvWA,고난이 찾아왔을 때 하나님이 원하시는 단 한 가지 | 요나 욥 예레미야의 공통점,"Mar 7, 2026",1449,2315,350.2284,9,8.422,27408,6.05
f-VGFQJtMVA,지금 너무 힘드신가요? 하나님은 당신의 시험을 다 알고 계십니다 ㅣ 고린도전서 10장 13절,"Mar 4, 2026",716,2258,187.4779,23,8.435,27816,6.06
7FQ8HyOzupg,"82세 권사님이 알려준 비밀, 딱 일주일 만에 아이가 바뀌었습니다 🫢","Mar 1, 2026",31,2099,4.2262,0,0.158,3067,2.05
DaqfUrh9fIY,지금 힘드신가요? 사실 그게 하나님이 큰 복 주시기 직전 신호입니다,"Mar 9, 2026",724,2062,190.0124,8,6.604,21929,6.78
3WlgRHQgs78,"""새벽에 혼자 두려워 울었던 날, 하나님이 제게 하신 말씀","Feb 20, 2026",646,1896,132.6703,26,2.409,18315,6.91
vTjSIBMhUaI,왜 나만 이렇게 힘들까? 고난 뒤에 숨겨진 진짜 이유 😭,"Mar 6, 2026",31,1625,4.0861,3,0.147,5228,4.28
FC1NbovyktI,3가지 방법: 불안을 평안으로 바꾸는 기도가 있습니다 | 다 맡겼는데 왜 불안할까요,"Apr 3, 2026",741,1620,164.0388,21,10.704,19870,6.17
mQood9_IHKs,아무리 벌어도 통장이 밑 빠진 독이라면... 반드시 확인해야 할 '축복의 그릇' 3가지,"Apr 13, 2026",1006,1574,196.0013,8,13.344,19416,6.19
rVzzFRmumXk,하나님이 붙이신 사람 3가지 신호ㅣ15분 깊이 묵상,"Apr 26, 2026",821,1525,145.482,11,4.427,17533,6.78
XL4-28yAPFE,유창한 기도는 필요 없습니다. 하나님이 진짜 원하시는 것,"Mar 6, 2026",82,1502,3.7594,1,0.067,2814,3.06
Lk0A5p1i0G8,오늘 밤 이 한 마디만 드려보세요 | 감사 기도 시작법,"Apr 17, 2026",64,1456,14.5936,5,0.173,2052,3.27
fVklKPnfOP0,인생이 풀리는 사람들은 무조건 '이것'부터 다릅니다,"Mar 6, 2026",40,1158,3.1069,1,0.089,3019,3.38
50ueUHTxlDk,힘든 상황에서 이 두 가지만 하면 됩니다 | 요나서 강해,"Apr 15, 2026",1034,1124,156.1861,8,11.843,14655,6.23
hVFM95s-vFk,"내 욕심일까, 하나님의 뜻일까? '진짜 응답' 구별하는 법","Mar 23, 2026",670,1035,92.3601,2,3.421,13229,5.88
9s0bxXewPxQ,번아웃에 빠진 당신을 위한 하나님의 3단계 처방전 (로뎀나무의 위로),"Mar 24, 2026",815,986,89.2844,6,2.623,14230,5.34
lCEgSF7A61g,"[재정 2편] 복 받는 사람의 세 가지 그릇, 성경이 정확하게 알려줍니다","Apr 18, 2026",780,872,81.5273,4,7.935,14430,6.35
wtLexeBaSlg,"""50년 신앙생활 중 가장 힘들 때 저를 살린 성경 구절 3가지""","Apr 16, 2026",792,858,105.651,7,8.245,10852,6.57
pl3FSHhita4,"걱정 때문에 잠 못 이루는 밤, 주님이 당신에게 꼭 하고 싶은 말 📖 | 말씀의 지혜","Feb 20, 2026",32,812,1.1049,2,0.02,3497,1.86
EfeaMnc1NhM,"🕊️ 사랑하는 여러분, 오늘 주일 평안히 보내셨습니까?

주일 예배 가운데 받으신 은혜가, 한 주의 시작까지 깊이 머물기를 기도합니다.

오늘 하루, 누군가 때문에 마음이 흔들리셨","Apr 26, 2026",15,796,0.8188,0,,0,
Jsu68s5RHwY,하나님이 보내주신 '진짜 친구' 구별하는 법 7가지 ✨ #명언 #구원의확신 #시편119,"Feb 18, 2026",34,768,1.1348,0,0.011,2934,1.67
9hbYkxHqW5o,"""인생이 바닥일 때 이 세 가지만 기억하세요"" | 고난을 통과하는 분들을 위한 룻기 처방전","Mar 25, 2026",1159,757,101.6213,0,4.563,8259,7.37
hYIl73axxA4,기도가 꽉 막힌 것 같을 때... '이 3가지'만 기억하세요! 🙏,"Feb 4, 2026",33,747,1.7411,0,0.012,2339,2.22
EngAV6sjYHo,"""주님 한 마디면 충분합니다"" 불안한 마음을 10분 만에 평안으로 바꾸는 법","Mar 19, 2026",610,679,50.9657,3,2.031,8635,5.66
EesK5iJz1q4,먼저 떠난 가족이 지금 천국에서 하고 있는 4가지 (당신이 꼭 알아야 할 진실),"Mar 11, 2026",731,646,59.5037,2,2.426,9017,5.18
_QKc5UUgUUg,"지금 '물고기 뱃속' 같은 시간을 지나고 계신 분들께...

여러분, 아무리 기도해도 앞이 보이지 않고, 사방이 꽉 막힌 것처럼 느껴질 때가 있으시죠? 

믿었던 요나조차도 깊은","Apr 14, 2026",15,629,1.0712,0,,0,
YNEqYRrS-Wo,"그릇이 큰 사람의 네 가지 비밀, 성경이 알려줍니다","Apr 22, 2026",909,604,66.4138,9,8.773,20435,6.09
dW_XpYXJ9wY,"""당신이 받은 그 응답, 사실 '함정'일 수도 있습니다 (가장 무서운 착각)""","Apr 8, 2026",969,602,64.5116,3,4.066,8267,5.53
tEF7gBza3rA,"""내 꿈이 막히는 데는 이유가 있어요, 요셉도 13년을 기다렸습니다","Apr 6, 2026",1311,602,81.008,0,8.639,9037,5.09
_TloiHqYxF8,"히브리인 vs 유대인, 다 같은 말일까? 성경 읽다 궁금했던 그 이름의 비밀!","Feb 16, 2026",27,599,0.6436,2,0.005,1736,1.04
tsts0fKYiYY,"잠들기 전 5분, 이 시편 5편을 읽으면 내일 아침이 완전히 달라지는 이유","Feb 24, 2026",721,591,55.341,5,0.788,6607,5.68
Hgq3fQ1D4cM,하나님이 '헌금 많이 하는 부자'보다 '가난한 과부'를 선택하신 진짜 이유,"Mar 21, 2026",796,585,53.6859,3,1.8,8791,5.1
tydDzgj1Z_E,"📖 오늘 오후 6시, 새 영상이 올라옵니다.

""태초에 하나님이 천지를 창조하시니라."" (창세기 1장 1절)

이 짧은 구절 하나가, 여러분의 하루를 어떻게 바꿀 수 있는지
오늘","Apr 16, 2026",15,548,0.777,0,,0,
_HkoAm6A8wM,"🕊️ 사랑하는 여러분, 오늘 아침부터 함께 묵상해 주신 모든 분께 진심으로 감사드립니다.

하나하나 댓글을 천천히 읽었습니다.
""권사님 간증에서 한참을 멈췄습니다"", ""코이노니아라","Apr 27, 2026",15,492,0.1563,0,,0,
3qBZMgGWF_o,말씀은 거울이다｜무너진 삶을 다시 세우는 회개와 회복의 비밀ㅣ성경 말씀ㅣ기독교 명언,"Sep 14, 2025",2552,477,108.9179,2,1.994,4700,4.96
y1vO9V6DNVs,잠자리 들기 전 자녀 손 잡고 이 기도 하면 막힌 관계가 열립니다 ｜기독교｜듣는성경,"Feb 26, 2026",886,452,40.9391,2,1.76,6383,4.43
Tiqarc-qoRg,"오늘 저녁 6시,
「하나님이 도우실 때 나타나는 6가지 신호」
ㅣ15분 깊이 묵상

사방이 막혀 본 적 있으십니까.
앞은 홍해, 뒤는 군대 같은 그런 새벽.

그런데 성경은 바로","Apr 24, 2026",15,445,0.542,,,0,
k6TN4qFZi9M,"""평생 돈 걱정 없이 놀고 먹는 삶? 다 가져본 솔로몬이 절규하며 남긴 경고""","Apr 1, 2026",1053,437,60.5516,2,3.018,6776,4.68
UgeqI1v13xU,"예배 3분 전, '이것' 안 하면 당신의 1시간이 통째로 날아갑니다 (오늘 당장 확인하세요)","Mar 30, 2026",689,418,36.9647,4,3.373,6949,4.43
TR7kqpbzIv8,"""내가 정말 구원받았을까?"" 매일 밤 이 질문으로 고민하는 당신에게 | 구원의 확신","Feb 13, 2026",1983,405,102.3268,8,0.738,5796,3.38
kTRxSSM7TpM,모든 걱정과 두려움이 사라지는 시편 23편의 기적 🙏,"Jan 31, 2026",27,383,1.0767,0,0.02,2057,3.45
JuiLABs446U,헤리티지   이 찬양이 당신의 마음을 회복시킬 겁니다 | Heritage Mass Choir Worship Live,"Oct 19, 2025",101,358,1.9736,1,0.052,4450,5.33
ikEqNVAM-Eo,"""2000년 전 땅속에서 나온 '이것', 성경 비판하던 학자들이 침묵한 이유""","Mar 8, 2026",1089,347,37.989,0,0.919,7491,3.63
0hOYWIdwIeI,"설날 명절 제사, 기독교인이 꼭 피해야 할 7가지 실수 | 성경적으로 가족 사랑하는 법","Feb 15, 2026",1975,313,50.6702,6,0.095,5516,4.08
5xiUmY0bi94,매번 사람에게 상처받는다면...다윗이 알려주는 관계의 '비밀' 하나,"Apr 10, 2026",767,278,24.3847,1,2.439,4403,4.57
KUTjhxSlqRE,🐑 한 단어의 깊이를 만나는 채널 ㅣ 말씀의지혜,"Apr 28, 2026",55,265,0.3592,0,0.008,359,1.95
YTvXaYVL7xE,"오늘 오후 6시에 새 영상 올라갑니다 🙏

사실 이 영상 준비하면서 저도 많이 돌아봤어요.

예전에 저도 그랬거든요.
""하나님, 이것만 주시면 잘 살 수 있을 것 같아요.""
""조금","Apr 13, 2026",15,237,0.2067,0,,0,
iYWQ1fTqiCE,"재정 시리즈 두 번째 이야기, 오늘 오후  7시 공개됩니다 🙏

""지극히 작은 것에 충성된 자는 큰 것에도 충성되고"" (누가복음 16장 10절)

지난 시간 ""축복의 그릇 세 가지","Apr 18, 2026",15,230,0.3126,0,,0,
Ix9EFUa8Kow,"“120년의 기다림, 그러나 그는 흔들리지 않았다 | 믿음으로 방주를 지은 노아의 이야기","Oct 30, 2025",3144,169,27.8434,0,0.424,2476,5.65
VyxsDMOoKgY,성경 읽다가 멘붕 온 이유😱 히브리인→이스라엘인→유대인 이름 바뀌는 충격적인 비밀 | 창세기부터 요한계시록까지 한 번에 이해하기,"Jan 25, 2026",841,165,15.7066,1,0.097,2745,2.81
PYl6bLphhe0,하나님을 ‘아버지’라고 부르는 진짜 이유 (90%가 모르는 반전) 😲 #Shorts,"Jan 25, 2026",23,152,0.4683,0,0.006,1178,2.29
X98X3IMSt38,"""못생겼다고 거절당한 중학생, 30년 후 깨달은 진실 | 상처와 치유의 은혜 [시편 147:3]""","Feb 6, 2026",407,145,4.1165,0,0.219,2955,2.06
X3iUHmkmlbg,"""잠 못 이루는 새벽, 이 말씀 3구절ㅣ마6장""","Apr 20, 2026",692,144,17.219,1,5.291,10739,6.02
xF_xtPHnHoM,"📖 ""태초에 하나님이 천지를 창조하시니라"" (창세기 1:1)

여러분의 인생에서, 가장 막막하고 힘들었던 그 순간
여러분을 붙들어준 성경 구절이 있으셨나요?

저는 50년 신앙생활","Apr 18, 2026",15,143,0.0963,0,,0,
V1_6kHzMJR8,"숨 가쁜 하루의 끝, 당신을 안아줄 따뜻한 위로와 평안 (CCM/신앙고백)","Feb 11, 2026",165,138,3.4036,1,0.129,4115,2.26
N0hNqufPrhc,"반복되는 실패, 하나님은 왜 그냥 두실까?","Jan 5, 2026",761,106,9.1806,1,0.21,1417,4.87
_VM5Hz_JZKc,"“하나님, 왜 제 기도는 이렇게 오래 걸리나요?” 기다림 끝에 드러난 ‘하나님의 시간","Oct 16, 2025",1050,94,11.4449,0,0.337,1334,4.95
uuNneQGr5vc,"""하나님, 언제까지입니까?"" 기다림에 지친 당신을 위한 위로 (누가복음 2장)","Dec 30, 2025",792,91,9.8849,0,0.129,1059,6.04
OLBLvdcDvY0,회개의 끝은 눈물이 아닙니다 — 하나님께 돌아오는 사람의 기쁨 | 회개 | 눈물 | 오디오북 |,"Nov 9, 2025",1389,62,8.0247,0,0.022,1120,2.23
RQQ6W9WM-9k,"화려한 소돔 vs 거룩한 산, 어디를 선택하시겠습니까?","Jan 1, 2026",913,58,4.4861,0,0.088,1331,2.93
w4Hmvip1rv4,"2026년, 당신의 한 해를 결정짓는 단 하나의 질문","Jan 13, 2026",789,56,4.8701,0,0.076,1318,2.96
 -q8DaXbpez4,"""나의 실수가 하나님의 계획을 막을 수 없습니다""  |창세기 12:10-20|","Dec 7, 2025",1691,55,9.6999,1,0.075,1070,2.71
jUNt13oVlsE,문제 앞에서 한 걸음 더 하나님께 가까이,"Dec 22, 2025",1828,52,7.7403,0,0.059,979,2.86
_lc8X48M_eg,기도가 막힐 때 매일 붙드는 세 문장 기도 은혜가 시작됩니다 |오디오북|,"Dec 15, 2025",1514,51,9.7241,0,0.047,955,2.3
YIH5A50KrRA,회복의 시작은 비전입니다   ｜느헤미야 강해 ㅣ성경 말씀ㅣ기독교 명언,"Sep 17, 2025",912,44,5.3909,0,0.412,722,3.88
IDW8mWZ9muY,실패 후 다시 일어서는 믿음!  느헤미야가 알려주는 영적 회복의 비밀,"Nov 20, 2025",1343,38,4.3605,0,0.056,789,2.28
 -G7cCNk1328,"📖 오늘도 은혜로운 주일 되고 계신가요? 🙏

주일 저녁 성도님들께 한 가지 기쁜 소식을 전해드립니다.
오늘 오후 6시, 새 영상이 업로드됩니다 ✨

────────────────","Apr 12, 2026",15,38,0.1173,0,,0,
wvzr0Pnm1G0,내가 믿음을 시작한 줄 알았는데… 진짜 시작은 ‘이 순간’이었습니다,"Dec 4, 2025",1487,37,4.6179,0,0.012,845,2.49
6ciJYEe2Ids,"🌿 오늘 저녁 6시, 새 묵상이 함께 시작됩니다.

「하나님이 보여주신 3가지 신호」
사도행전 9장 1~17절 · 15분 깊이 묵상

지금 마음에 떠올리면 가슴이 막히는 그 한 사","Apr 29, 2026",15,30,0.0185,,,0,
rO_tztApp8Y,"교회 회복의 첫 걸음, 비전보다 기도가 먼저입니다","Oct 2, 2025",1393,29,3.3538,0,0.013,755,1.59
F9J3mjXF4y8,"""알파와 오메가의 하나님”｜고난의 끝을 이미 아시는 분 (요한계시록 묵상)","Nov 14, 2025",1313,28,5.005,1,0.061,865,2.77
95Foe627JTw,"보이지 않아도, 하나님은 일하고 계십니다 — 히브리서 11:31의 은혜 | 성경말씀 | 오디오북 |","Nov 8, 2025",1269,24,2.657,0,0.041,697,2.73
B1WRKeYue88,"⏰ 오늘 저녁 6시.

""잠 못 이루는 새벽, 이 말씀 3구절""

오늘 밤 당신이 마음을 내려놓을 수 있도록,
마태복음 6장의 깊은 묵상을 준비했습니다.

🌙 헬라어 '메림나'에","Apr 20, 2026",15,23,0.0177,0,,0,
m8bwH4KIJI4,성전 깊숙이 숨겨진 도비야의 방   하나님은 우리 마음을 다시 세우십니다,"Nov 23, 2025",1331,16,1.5073,0,0.12,883,1.59
x0bBFcHWPu8,"보이지 않아도, 기다림은 결코 헛되지 않습니다 | 모세가 선택한 거룩한 기다림의 믿음 |","Nov 3, 2025",1387,11,1.8617,0,0.004,726,1.1
3kOqR6CsJYs,하나님이 보여주신 3가지 신호ㅣ15분 깊이 묵상,"Apr 29, 2026",833,1,0.0004,,,0,
